"Address","Date","Rent","Aprt_Type","Building_Type"
"700 NW 4th St, Oklahoma City, OK 73102","2026/01/01",1120,"1 Bed","Apartment"
"700 NW 4th St, Oklahoma City, OK 73102","2026/01/01",1545,"2 Beds","Apartment"
"2904 Treight Creek Ln, Midwest City, OK 73110","2026/01/01",1495,"2 Beds",NA
"9516 S Shields Blvd, Moore, OK 73160","2026/01/01",890,"1 Bed","Apartment"
"9516 S Shields Blvd, Moore, OK 73160","2026/01/01",1000,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/01/01",1109,"1 Bed","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/01/01",1309,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/01/01",1689,"3 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/01/01",1320,"1 Bed","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/01/01",1445,"2 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/01/01",2240,"3 Beds","Apartment"
"5200 Oak St, Oklahoma City, OK 73112","2026/01/01",1370,"Studio","Apartment"
"5200 Oak St, Oklahoma City, OK 73112","2026/01/01",1531,"1 Bed","Apartment"
"5200 Oak St, Oklahoma City, OK 73112","2026/01/01",2199,"2 Beds+","Apartment"
"101 N Broadway Ave, Oklahoma City, OK 73102","2026/01/01",1075,"Studio","Apartment"
"101 N Broadway Ave, Oklahoma City, OK 73102","2026/01/01",1100,"1 Bed","Apartment"
"101 N Broadway Ave, Oklahoma City, OK 73102","2026/01/01",1395,"2 Beds","Apartment"
"14602 Parkway Center Ave, Oklahoma City, OK 73134","2026/01/01",2000,"2 Beds",NA
"901 Hangar Dr, Oklahoma City, OK 73108","2026/01/01",1495,"1 Bed","Apartment"
"901 Hangar Dr, Oklahoma City, OK 73108","2026/01/01",1800,"2 Beds","Apartment"
"11239 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/01/01",890,"1 Bed","Apartment"
"11239 N Pennsylvania Ave, Oklahoma City, OK 73120","2026/01/01",1015,"2 Beds","Apartment"
"14600 N Rockwell Ave, Oklahoma City, OK 73142","2026/01/01",865,"1 Bed","Apartment"
"14600 N Rockwell Ave, Oklahoma City, OK 73142","2026/01/01",1130,"2 Beds","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/01/01",847,"1 Bed","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/01/01",954,"2 Beds","Apartment"
"5314 Willow Cliff Rd, Oklahoma City, OK 73122","2026/01/01",1330,"3 Beds","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/01/01",815,"1 Bed","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/01/01",1025,"2 Beds","Apartment"
"8557 Candlewood Dr, Oklahoma City, OK 73132","2026/01/01",1275,"3 Beds+","Apartment"
"11141 Springhollow Rd, Oklahoma City, OK 73120","2026/01/01",1024,"1 Bed","Apartment"
"11141 Springhollow Rd, Oklahoma City, OK 73120","2026/01/01",1099,"2 Beds","Apartment"
"11141 Springhollow Rd, Oklahoma City, OK 73120","2026/01/01",1499,"3 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/01/01",1095,"1 Bed","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/01/01",1325,"2 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/01/01",1600,"3 Beds","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/01/01",875,"1 Bed","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/01/01",995,"2 Beds","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/01/01",915,"1 Bed","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/01/01",1085,"2 Beds","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/01/01",737,"Studio","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/01/01",722,"1 Bed","Apartment"
"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142","2026/01/01",999,"2 Beds+","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/01/01",1755,"Studio","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/01/01",1996,"1 Bed","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/01/01",3861,"2 Beds+","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/01/01",1190,"1 Bed","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/01/01",1335,"2 Beds","Apartment"
"6929 S Sooner Rd, Oklahoma City, OK 73135","2026/01/01",1750,"3 Beds","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/01/01",840,"Studio","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/01/01",1120,"1 Bed","Apartment"
"4545 N Lincoln Blvd, Oklahoma City, OK 73105","2026/01/01",1350,"2 Beds","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/01/01",975,"Studio","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/01/01",1100,"1 Bed","Apartment"
"10333 W Reno Ave, Oklahoma City, OK 73127","2026/01/01",1395,"2 Beds","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/01/01",1110,"Studio","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/01/01",1430,"1 Bed","Apartment"
"8500 N Oklahoma Ave, Oklahoma City, OK 73114","2026/01/01",2000,"2 Beds+","Apartment"
"12600 NW 10th St, Yukon, OK 73099","2026/01/01",1165,"1 Bed","Apartment"
"12600 NW 10th St, Yukon, OK 73099","2026/01/01",1415,"2 Beds","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/01/01",1280,"1 Bed","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/01/01",1183,"2 Beds","Apartment"
"1201 Covell Village Dr, Edmond, OK 73003","2026/01/01",1533,"3 Beds","Apartment"
"1305 N Classen Dr, Oklahoma City, OK 73103","2026/01/01",2000,"1 Bed","Apartment"
"1305 N Classen Dr, Oklahoma City, OK 73103","2026/01/01",3208,"2 Beds","Apartment"
"1305 N Classen Dr, Oklahoma City, OK 73103","2026/01/01",5200,"3 Beds","Apartment"
"1701 N Classen Blvd, Oklahoma City, OK 73106","2026/01/01",1415,"1 Bed","Apartment"
"1701 N Classen Blvd, Oklahoma City, OK 73106","2026/01/01",1775,"2 Beds","Apartment"
"1701 N Classen Blvd, Oklahoma City, OK 73106","2026/01/01",2530,"3 Beds","Apartment"
"2400 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",1199,"1 Bed","Apartment"
"2400 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",1409,"2 Beds","Apartment"
"2400 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",1869,"3 Beds","Apartment"
"1721 NW 115th Ter, Oklahoma City, OK 73120","2026/01/01",1310,"1 Bed","Apartment"
"1721 NW 115th Ter, Oklahoma City, OK 73120","2026/01/01",1430,"2 Beds","Apartment"
"1721 NW 115th Ter, Oklahoma City, OK 73120","2026/01/01",2020,"3 Beds","Apartment"
"520 W Main St, Oklahoma City, OK 73102","2026/01/01",755,"3 Beds",NA
"130 Trail Ridge Rd, Oklahoma City, OK 73120","2026/01/01",1445,"3 Beds",NA
"8114 W Britton Rd, Oklahoma City, OK 73132","2026/01/01",880,"1 Bed","Apartment"
"8114 W Britton Rd, Oklahoma City, OK 73132","2026/01/01",800,"2 Beds","Apartment"
"6401 N Warren Ave, Oklahoma City, OK 73116","2026/01/01",775,"1 Bed","Apartment"
"6401 N Warren Ave, Oklahoma City, OK 73116","2026/01/01",975,"2 Beds","Apartment"
"3131 SW 89th St, Oklahoma City, OK 73159","2026/01/01",1025,"1 Bed","Apartment"
"3131 SW 89th St, Oklahoma City, OK 73159","2026/01/01",1250,"2 Beds","Apartment"
"3131 SW 89th St, Oklahoma City, OK 73159","2026/01/01",1499,"3 Beds","Apartment"
"5707 SE 48th St, Oklahoma City, OK 73135","2026/01/01",977,"1 Bed","Apartment"
"5707 SE 48th St, Oklahoma City, OK 73135","2026/01/01",1060,"2 Beds","Apartment"
"5707 SE 48th St, Oklahoma City, OK 73135","2026/01/01",1155,"3 Beds+","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/01/01",900,"Studio","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/01/01",1250,"1 Bed","Apartment"
"200 N Harvey Ave, Oklahoma City, OK 73102","2026/01/01",1400,"2 Beds","Apartment"
"314 NE 2nd St, Oklahoma City, OK 73104","2026/01/01",1162,"1 Bed","Apartment"
"314 NE 2nd St, Oklahoma City, OK 73104","2026/01/01",1445,"2 Beds","Apartment"
"314 NE 2nd St, Oklahoma City, OK 73104","2026/01/01",2195,"3 Beds","Apartment"
"425 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1182,"1 Bed","Apartment"
"425 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1578,"2 Beds","Apartment"
"1209 W Hefner Rd, Oklahoma City, OK 73114","2026/01/01",1029,"2 Beds",NA
"13331 N Macarthur Blvd, Oklahoma City, OK 73142","2026/01/01",877,"Studio","Apartment"
"13331 N Macarthur Blvd, Oklahoma City, OK 73142","2026/01/01",1003,"1 Bed","Apartment"
"13331 N Macarthur Blvd, Oklahoma City, OK 73142","2026/01/01",1290,"2 Beds+","Apartment"
