"Address","Date","Rent","Aprt_Type","Building_Type"
"13100 Margie Ln, Raleigh, NC 27603","2026/01/01",1340,"1 Bed","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/01/01",1630,"2 Beds","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/01/01",1865,"3 Beds","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/01/01",1100,"1 Bed","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/01/01",1775,"2 Beds","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/01/01",1292,"1 Bed","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/01/01",1674,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/01/01",1382,"1 Bed","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/01/01",1627,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/01/01",2062,"3 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/01/01",1185,"1 Bed","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/01/01",1614,"2 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/01/01",2010,"3 Beds","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/01/01",1398,"Studio","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/01/01",1548,"1 Bed","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/01/01",1823,"2 Beds+","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/01/01",1230,"1 Bed","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/01/01",1515,"2 Beds","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/01/01",1955,"3 Beds","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/01/01",1435,"1 Bed","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/01/01",1625,"2 Beds","Apartment"
"2500 Red Bartlett Way, Raleigh, NC 27616","2026/01/01",2298,"3 Beds","Apartment"
"3333 Melrose Club Blvd, Raleigh, NC 27603","2026/01/01",895,"2 Beds","Apartment"
"3333 Melrose Club Blvd, Raleigh, NC 27603","2026/01/01",820,"3 Beds","Apartment"
"3333 Melrose Club Blvd, Raleigh, NC 27603","2026/01/01",805,"4 Beds","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/01/01",1360,"1 Bed","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/01/01",1590,"2 Beds","Apartment"
"2811 Hillsborough St, Raleigh, NC 27607","2026/01/01",1409,"1 Bed","Apartment"
"2811 Hillsborough St, Raleigh, NC 27607","2026/01/01",1209,"2 Beds","Apartment"
"2811 Hillsborough St, Raleigh, NC 27607","2026/01/01",1035,"3 Beds","Apartment"
"3105 Holston Ln, Raleigh, NC 27610","2026/01/01",1050,"1 Bed","Apartment"
"3105 Holston Ln, Raleigh, NC 27610","2026/01/01",1100,"2 Beds","Apartment"
